Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Oak Investment Partners,https://www.crunchbase.com/organization/oak-investment-partners,http://oakinv.com,"East Coast, New England, Northeastern US","Oak Investment Partners is a multi-stage venture capital and private equity firm. Oak focuses on high-growth opportunities in the Information Technology, Internet and Consumer, Financial Services Technology, Healthcare Information and Services, and Clean Energy sectors. It is specialized in investments in buyouts, spinouts, growth equity, mid-to-late stage financings to private businesses, and PIPE investments to public companies. It generally, targets investments between $10 million and $150 million. Since 1978, the firm has invested $9 billion in over 525 companies around the world, earning the trust of entrepreneurs with a senior team that delivers steady guidance, deep domain expertise and a consistent investment philosophy. The firm also specializes in startup investments, emerging growth, recapitalization, industry consolidation. It invests in wireless communications, information technology, enterprise software and services, software outsourced services, broadband and consumer Internet, digital media and new media, semiconductors, financial services information technology, healthcare services, clean energy, and consumer retail and restaurants sectors. The firm primarily invests in the United States with selected investments in Europe, Israel, India, South Korea, and China. Oak Investment Partners was founded in 1978 and is based in Greenwich, Connecticut with additional offices in Norwalk, Connecticut, Palo Alto, California, and Minneapolis, Minnesota.","Angel Investment, Finance, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","Private Equity Firm, Venture Capital",397,"Greenwich, Connecticut, United States",infoct@oakvc.com,(203) 226-8346,http://www.linkedin.com/company/oak-investment-partners,,,,,,
Great Oaks Venture Capital,https://www.crunchbase.com/organization/great-oaks-venture-capital,http://www.greatoaksvc.com,"Greater New York Area, East Coast, Northeastern US",Great Oaks is an early-stage venture investment firm. It was founded in 2005 and is headquartered in New York.,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Micro VC,393,"New York, New York, United States",info@greatoaksvc.com,(212) 821 1800,http://www.linkedin.com/company/3254468,,,,,,
Social Capital,https://www.crunchbase.com/organization/social-capital,http://www.socialcapital.com,"San Francisco Bay Area, Silicon Valley, West Coast","Social Capital is a Palo Alto-based investment firm whose mission is to advance humanity by solving the world’s hardest problems. By harnessing technology to address core human needs, they aim to drive a bottom-up redistribution of power, capital and opportunity. To achieve this, they're building a new kind of company and a platform for empowering brilliant entrepreneurs and breakthrough products. Founded in 2011, the company is based in Palo Alto, California, United States.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Post-Ipo, Seed",Venture Capital,389,"Palo Alto, California, United States",inbox@socialcapital.com,650.521.9007,https://www.linkedin.com/company/social-capital-lp/,,,,,,
Crosslink Capital,https://www.crunchbase.com/organization/crosslink-capital,http://www.crosslinkcapital.com,"San Francisco Bay Area, West Coast, Western US","Crosslink, founded in 1989, is a premier early-stage venture capital firm with over $1.3B in assets.  Crosslink partners with founders that are market disrupters and category creators, typically at the Seed-Series A stage, across highly dynamic enterprise and consumer technology sectors. Over its history, Crosslink has had the opportunity to partner with defining companies such as Bleacher Report (acquired by TWX), BuildingConnected (acquired by ADSK), Chime, Coupa (COUP), DataStax, Molekule, Omniture (acquired by ADBE), Personal Capital (acquired by Empower Retirement), Postmates (acquired by UBER), ServiceMax (acquired by GE), Verodin (acquired by FEYE), Vungle (acquired by Blackstone) and Weave.","Artificial Intelligence, E-Commerce, Enterprise Software, IT Infrastructure, SaaS","Artificial Intelligence, Commerce and Shopping, Data and Analytics, Information Technology, Science and Engineering, Software","Early Stage Venture, Seed",Venture Capital,383,"San Francisco, California, United States",info@crosslinkcapital.com,415.617.1800,http://www.linkedin.com/company/crosslink-capital,,,,,,
Madrona Venture Group,https://www.crunchbase.com/organization/madrona-venture-group,http://Madrona.com,"Greater Seattle Area, West Coast, Western US","Madrona Venture Group is a venture capital firm based in Seattle, Washington. The firm seeks to invest in early-stage technology firms within the information technology, e-commerce, digital media, advertising, software, gaming, data, analytics, mobile and infrastructure sectors.","Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,380,"Seattle, Washington, United States",information@madrona.com,206.674.3000,http://www.linkedin.com/company/madrona-venture-group,,,,,,
Austin Ventures,https://www.crunchbase.com/organization/austin-ventures,http://www.austinventures.com,Southern US,"Austin Ventures is a venture capital and private equity company that specializes in partnering with talented executives and entrepreneurs to build companies. It was founded in 1984 and headquartered in Austin, Texas.","Angel Investment, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,378,"Austin, Texas, United States",khughes@austinventures.com,,http://www.linkedin.com/company/162584,,,,,,
ARCH Venture Partners,https://www.crunchbase.com/organization/arch-venture-partners,http://www.archventure.com,"Greater Chicago Area, Great Lakes, Midwestern US","ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations in life sciences. They enjoy special recognition as a leader in the successful commercialization of technologies developed at academic research institutions and national laboratories. ARCH has raised ten venture funds totaling over $3 billion and has invested in the earliest venture capital rounds for more than 150 companies. ARCH investors include major corporations, pension funds, endowment funds, financial institutions, and private investors.","Biotechnology, Health Diagnostics, Life Science, Pharmaceutical, Therapeutics, Venture Capital","Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering","Early Stage Venture, Seed, Venture",Venture Capital,368,"Chicago, Illinois, United States",,773-380-6600,https://www.linkedin.com/company/arch-venture-partners,,,,,,
Shasta Ventures,https://www.crunchbase.com/organization/shasta-ventures,http://shasta.vc,"San Francisco Bay Area, Silicon Valley, West Coast","At Shasta, we elevate early stage enterprise SaaS companies. For 15 years we've helped over 30 startups go public or get acquired by providing the capital and expertise to become market-changing enterprises. Shasta Ventures was founded in 2004 and headquartered in Menlo Park, California.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Venture Capital,362,"Menlo Park, California, United States",,650.543.1700,https://www.linkedin.com/company/shasta-ventures/,,,,,,
Flybridge,https://www.crunchbase.com/organization/flybridge-capital,http://www.flybridge.com,"Greater Boston Area, East Coast, New England","Flybridge is a seed-stage VC investing with entrepreneurs to leverage the power of the community. It prefers to invest in computer hardware, software, SaaS, and big data sectors. Founded in 2002, the company is headquartered in Boston, Massachusetts.","Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Venture Capital,360,"Boston, Massachusetts, United States",hello@flybridge.com,617.307.9292,https://www.linkedin.com/company/flybridge-capital-partners/,,,,,,
TCV,https://www.crunchbase.com/organization/technology-crossover-ventures,http://www.tcv.com,"San Francisco Bay Area, Silicon Valley, West Coast","TCV provides capital to growth-stage private and public companies in the technology industry. It also provides management teams with data-driven insights, sector expertise, access to world-class talent, and connections with category leaders.  Founded in 1995, the Silicon Valley-headquartered firm has invested more than $14 billion in over 350 growth-stage technology companies to date. Some of its most prominent portfolio company exits include Airbnb, Facebook, Netflix, Peloton, and Zillow.","Business Development, Finance, Financial Services","Financial Services, Professional Services","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",Private Equity Firm,360,"Menlo Park, California, United States",ir@tcv.com,6506148200,https://www.linkedin.com/company/26406?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A26406%2Cidx%3A2-1-4%2CtarId%3A1450889867409%2Ctas%3Atechnology%20crossover%20,,,,,,
Techstars Ventures,https://www.crunchbase.com/organization/bullet-time-ventures,http://techstars.com/ventures,"Greater Denver Area, Western US","Techstars Ventures (formerly Bullet Time Ventures) is the venture capital arm of Techstars. Bullet Time Ventures is a $150 million fund based in Boulder, Colorado.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",357,"Boulder, Colorado, United States",,1(303) 720-6559,https://www.linkedin.com/company/techstars,,,,,,
Warburg Pincus,https://www.crunchbase.com/organization/warburg-pincus,http://www.warburgpincus.com,"Greater New York Area, East Coast, Northeastern US","Warburg Pincus LLC is a leading global private equity firm focused on growth investing. The firm has more than $45 billion in private equity assets under management. The firm’s active portfolio of more than 165 companies is highly diversified by stage, sector, and geography. Warburg Pincus is an experienced partner to management teams seeking to build durable companies with sustainable value. Founded in 1966, Warburg Pincus has raised 17 private equity funds which have invested more than $68 billion in over 825 companies in more than 40 countries.     The firm is headquartered in New York with offices in Amsterdam, Beijing, Hong Kong, Houston, London, Luxembourg, Mumbai, Mauritius, San Francisco, São Paulo, Shanghai, and Singapore. For more information, please visit www.warburgpincus.com. ","Finance, Financial Services",Financial Services,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",Private Equity Firm,355,"New York, New York, United States",investor.services@warburgpincus.com,+1 212 878 0600,https://www.linkedin.com/company/warburg-pincus/about/,,,,,,
Western Technology Investment,https://www.crunchbase.com/organization/western-technology-investment,http://www.westerntech.com,"San Francisco Bay Area, West Coast, Western US",Leading provider of debt and lease financing to venture capital backed technology companies.,"Advertising, Analytics, Venture Capital","Advertising, Data and Analytics, Financial Services, Lending and Investments, Sales and Marketing","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",Venture Capital,354,"Portola Valley, California, United States",info@westerntech.com,,https://www.linkedin.com/company/western-technology-investment/,,,,,,
e.ventures,https://www.crunchbase.com/organization/e-ventures,http://eventures.vc,"San Francisco Bay Area, West Coast, Western US","Founded in 1998 and built on a strong, shared culture of entrepreneurship, e.ventures is a venture capital firm with global scale. The firm backs founders in the US, Europe, Asia and Latin America. The e.ventures team has been investing in Internet companies for more than 15 years and operates as one team by combining a global strategy and philosophy with local presence and insights. Focused exclusively at the intersection of consumer Internet, media and mobile, e.ventures aims to help entrepreneurs build transformative companies.","Business Development, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,349,"San Francisco, California, United States",info@eventures.vc,,http://www.linkedin.com/company/e-ventures,,,,,,
Morgenthaler Ventures,https://www.crunchbase.com/organization/morgenthaler-ventures,http://www.morgenthaler.com,"San Francisco Bay Area, Silicon Valley, West Coast","Morgenthaler Ventures has been in the venture capital business for more than 45 years, steadily investing through every market cycle.  Select past and present portfolio companies in the IT space include: Evernote, Lending Club, Siri, MuleSoft, Practice Fusion, Adara Media, Check, Doximity, PeopleMatter, Socrata, NuoDB, Jaspersoft, Voltage Security, Rhythm NewMedia, Nominum, Wize Commerce (NexTag) and back in the day, Apple.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,345,"Menlo Park, California, United States",,,https://www.linkedin.com/company/morgenthaler/about/,,,,,,
Uncork Capital,https://www.crunchbase.com/organization/softtech-vc,http://www.uncorkcapital.com,"San Francisco Bay Area, Silicon Valley, West Coast","Uncork Capital is a seed-stage venture capital firm that focuses on SaaS, consumer, marketplaces, hardware, and new technology startups. The firm currently investing out of two funds: a $100M Seed fund (Fund VI) and a $100M Opportunity fund (Plus II) earmarked for larger investments in mature, existing portfolio companies. Uncork Capital, formerly SoftTech VC was founded in 2004 and is based in Palo Alto, California, United States.","Consumer, Hardware, Marketplace, SaaS, Venture Capital","Commerce and Shopping, Financial Services, Hardware, Lending and Investments, Other, Software","Debt, Early Stage Venture, Late Stage Venture, Seed",Micro VC,344,"Palo Alto, California, United States",contact@uncorkcapital.com,,https://www.linkedin.com/company/uncorkcapital,,,,,,
ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,http://www.ffvc.com,"Greater New York Area, East Coast, Northeastern US","ff Venture Capital (ffVC) is a technology venture capital firm investing in some of the strongest growth areas to date, including cybersecurity, artificial intelligence, machine learning, drones, enterprise cloud software, and crowdfunding. The firm identifies and invests in technology and technology-enabled companies at its inception across geographies and emerging industries.  With three partners and an acceleration team of 20+ investment and operations professionals, ffVC actively participates with founders to develop products, target markets, and accelerate growth. Since 2008, ffVC has invested in over 100 companies and has helped to create companies with an aggregate market value exceeding $6 billion.","Artificial Intelligence, Cyber Security, Machine Learning, Software, Venture Capital","Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Privacy and Security, Science and Engineering, Software","Debt, Early Stage Venture, Late Stage Venture, Seed","Micro VC, Venture Capital",343,"New York, New York, United States",,,https://www.linkedin.com/company/ff-venture-capital/,,,,,,
Upfront Ventures,https://www.crunchbase.com/organization/upfront-ventures,http://upfront.com,"Greater Los Angeles Area, West Coast, Western US","Upfront Ventures is proud to be an early investor and long-term partner to the most exciting founders and startups. Founded in 1996 in Los Angeles with investing professionals based in LA, San Francisco, and Paris, Upfront has backed standout teams across all technology sectors, including Ring (acq. by Amazon), TrueCar (NASDAQ: TRUE), Bird, Maker Studios (acq by Disney), GOAT, Apeel Sciences, thredUP, Invoca and Kyriba (acq by Bridgepoint). We invest about half of our capital in the fast-growing Southern California ecosystem, with the balance across the country as well as investments in Europe and Israel. Upfront Ventures is led by Managing Partners Yves Sisteron, Mark Suster, and Kara Nortman.","AgTech, Cyber Security, Digital Media, FinTech, SaaS","Agriculture and Farming, Financial Services, Information Technology, Media and Entertainment, Privacy and Security, Software","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,342,"Santa Monica, California, United States",,+1 310-785-5100,https://www.linkedin.com/company/upfront-ventures,,,,,,
Sierra Ventures,https://www.crunchbase.com/organization/sierra-ventures,http://www.sierraventures.com,"San Francisco Bay Area, Silicon Valley, West Coast","Sierra Ventures is a Bay Area-based early-stage venture firm investing globally with a focus on Next Generation Enterprise and Emerging Technologies. With over three decades of experience and over $2 billion of assets under management, Sierra has created a vast network of successful entrepreneurs, Global 1000 CXOs, operational executives, and deep domain experts, providing a platform for entrepreneurs around the world. Sierra Ventures primarily invests in Seed and Series A rounds, with a preference to lead investment rounds and reserve capital for follow on rounds. Investment sectors include artificial intelligence/machine learning, big data, cloud, fintech, health tech, IoT/infrastructure, marketplaces, SaaS & enterprise apps, security, and emerging technologies such as 5G, devices, blockchain, robotics, and virtual reality / augmented reality. Sierra Ventures typically makes initial investments between $500,000 and $7 million on average and invests between $500,000 and $15 million over the life of an investment. The firm has invested in leading companies such as Intuit, Invensense, Greenplum, MakeMyTrip, OnLink, Teradata, StrataCom, Sourcefire, Treasure Data, and more. Sierra Ventures was founded in 1982 and is based in San Mateo, California.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",Early Stage Venture,Venture Capital,341,"San Mateo, California, United States",info@sierraventures.com,650.854.1000,http://www.linkedin.com/company/sierra-ventures,,,,,,
Sigma Partners,https://www.crunchbase.com/organization/sigma-partners,http://www.sigmapartners.com,"Greater Boston Area, East Coast, New England","Sigma Partners is a venture capital firm, founded in 1984, that has invested in over a hundred early stage companies and has over $2 billion under management.  In 2007, it raised $500 million for its most recent fund, named Sigma Partners 8.",Venture Capital,"Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,340,"Boston, Massachusetts, United States",,650.853.1700,http://www.linkedin.com/in/rdale,,,,,,
Comcast Ventures,https://www.crunchbase.com/organization/comcast-interactive-capital,http://www.comcastventures.com,"San Francisco Bay Area, West Coast, Western US",Comcast Ventures is the venture capital affiliate of Comcast Corporation and partners with extraordinary entrepreneurs building transformative consumer and enterprise companies.,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","Corporate Venture Capital, Venture Capital",333,"San Francisco, California, United States",neva_lew@comcast.com,,https://www.linkedin.com/company/comcast-ventures/,,,,,,
Versant Ventures,https://www.crunchbase.com/organization/versant-ventures,http://www.versantventures.com,"San Francisco Bay Area, Silicon Valley, West Coast","Versant Ventures is a leading healthcare investment firm committed to helping exceptional entrepreneurs build the next generation of great companies. The firm invests across the healthcare sector and at all stages of company development, with an emphasis on the discovery and development of novel therapeutics. With $2.3 billion under management and offices in Canada, the U.S. and Europe, Versant has built a team with deep investment, operating, and scientific expertise that enables a hands-on approach to company building. Since the firm’s founding in 1999, more than 65 Versant companies have achieved successful acquisitions or IPOs.","Financial Services, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity",Venture Capital,332,"Menlo Park, California, United States",,(415) 801-8100,http://www.linkedin.com/company/versant-ventures,,,,,,
StartX (Stanford-StartX Fund),https://www.crunchbase.com/organization/stanfordstartx-fund,http://startx.com/,"San Francisco Bay Area, Silicon Valley, West Coast","StartX is a 501(c)(3) Stanford-affiliated nonprofit in Silicon Valley that runs one of the world’s top startup accelerator programs. Its mission is to advance the development of the best entrepreneurs through experiential education and peer learning. Since launching in 2010, it has supported more than 450 companies and 1000 entrepreneurs, from early to pre-IPO stage, working across a wide spectrum of industries.    StartX and StartX Med, dedicated to medical and biotechnology innovation, provide founders with access to a powerful network of entrepreneurs, investors, mentors, and industry partners, along with office space and a variety of other resources. Based in Palo Alto, the accelerator also operates StartX-QB3 Labs and the Stanford-StartX Fund. We are funded by Stanford University, Stanford Health Care, Microsoft, Steelcase, Hyundai, Oriza Ventures, Nissan, Panasonic, Lightspeed Venture Partners, Analog Devices, Silicon Valley Bank, Greylock Partners, Sequoia Capital, and many others. For more information, visit startx.com The company is associated investment vehicle, the Stanford-StartX Fund is a partnership between StartX, Stanford University and Stanford Health Care.  It can invest only in StartX companies who raise qualified rounds of venture capital using objective criteria; it is founder opt-in.","Artificial Intelligence, Automotive, Big Data, Bioinformatics, Biotechnology, Computer Vision, Consumer Software, E-Commerce, Education, Enterprise Software, Finance, Financial Services, Hardware, Internet, Internet of Things, Machine Learning, Medical Device, Non Profit, Venture Capital","Artificial Intelligence, Biotechnology, Commerce and Shopping, Data and Analytics, Education, Financial Services, Hardware, Health Care, Internet Services, Lending and Investments, Other, Science and Engineering, Software, Transportation","Early Stage Venture, Non Equity Assistance, Seed",Accelerator,329,"Palo Alto, California, United States",info@startx.stanford.edu,,,400000,USD,400000,4800000,USD,4800000
Floodgate,https://www.crunchbase.com/organization/floodgate,http://www.floodgate.com,"San Francisco Bay Area, Silicon Valley, West Coast","Floodgate Fund is a venture capital firm that focuses on early stage investments in technology companies. It was founded in 2006 and is headquartered in Palo Alto, California.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed","Micro VC, Venture Capital",328,"Palo Alto, California, United States",businessplans@maples.net,650.204.7990,https://www.linkedin.com/company/floodgate,,,,,,
Union Square Ventures,https://www.crunchbase.com/organization/union-square-ventures,http://www.usv.com,"Greater New York Area, East Coast, Northeastern US","Union Square Ventures is a private equity and venture capital firm focused on early-stage, growth capital, late-stage, and startup financing. The USV portfolio companies create services that have the potential to fundamentally transform important markets.  It exclusively invests in the internet world, focusing on the applications layer of the web, internet services, and web services that create large networks as well as the mobile sector. Most of its invested companies are based in New York, San Francisco, London, or Berlin, and most places in between. It typically makes a starting investment in portfolio companies of $1 million. In certain Series Around cases, the firm may make a starting investment between $2.5 million to $3 million. It typically invests up to $20 million in any single company. Union Square Ventures was founded in 2003 and is based in New York, United States.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Seed",Venture Capital,327,"New York, New York, United States",info@unionsquareventures.com,(212) 994-7399,https://www.linkedin.com/company/union-square-ventures,,,,,,
StartUp Health,https://www.crunchbase.com/organization/startup-health,http://www.startuphealth.com,"Greater New York Area, East Coast, Northeastern US","StartUp Health is investing in a global army of Health Transformers to achieve health moonshots. StartUp Health is on a 30-year mission to collaborate with entrepreneurs to improve the health and wellbeing of everyone in the world. Since 2011, StartUp Health has been investing in a global army of entrepreneurs -- called Health Transformers -- to achieve health moonshots: Access to Care, Cost to Zero, Cure Disease, End to Cancer, Women’s Health, Children’s Health, Nutrition and Fitness, Brain Health, Mental Health and Happiness, Addiction, Longevity, and Pandemic Response.   StartUp Health has the world’s largest health innovation portfolio with more than 330 companies across six continents and 26 countries and is backed by leading investors including Advocate Aurora Health, Chiesi, Steve Case, Mark Cuban, Esther Dyson, Brad Feld, GuideWell, Jason Finger, Jerry Levin, Kaiser Permanente, Masimo, Novartis, Otsuka, and Ping An.","Biotechnology, Electronic Health Record (EHR), Employee Benefits, Health Diagnostics, Home Health Care, Medical Device, mHealth, Nursing and Residential Care, Personal Health","Administrative Services, Biotechnology, Health Care, Mobile, Science and Engineering","Early Stage Venture, Seed","Micro VC, Venture Capital",323,"New York, New York, United States",innovate@startuphealth.com,,https://www.linkedin.com/company/startuphealth,24300000,USD,24300000,24300000,USD,24300000
Dreamit Ventures,https://www.crunchbase.com/organization/dreamit-ventures,http://www.dreamit.com,"Greater New York Area, East Coast, Northeastern US","Dreamit is an early-stage venture fund that accelerates startups building transformative tech products in the fields of healthcare, real estate, construction, cybersecurity, and physical security. The fund invests in startups with demonstrable traction that are looking to rapidly gain customers, initiate new partnerships, and to raise additional capital. Startups participate in one of Dreamit's three industry verticals: Urbantech, Healthtech, or Securetech.  Founders meet with dozens of potential customers and partners on multi-city Customer Sprints, pitch leading venture firms during Investor Sprints, receive hands-on coaching, and gain access to a vast network of experienced alumni and advisors. Since its founding in 2007, Dreamit has accelerated over 320 startups, including LevelUp (acquired by GrubHub), Trendkite (acquired by Cision), SeatGeek, HouseParty (acquired by Epic Games), Adaptly (acquired by Accenture), Wellth, Biomeme, Tissue Analytics, Redox, Eko Devices, Raxar, Cylera and Elevate. Dreamit portfolio companies have raised over $800 million in follow-on funding and have a combined valuation of over $2 billion.","Cyber Security, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments, Privacy and Security","Early Stage Venture, Seed","Accelerator, Venture Capital",322,"New York, New York, United States",info@dreamit.com,,http://www.linkedin.com/company/dreamit-ventures,,,,,,
IVP,https://www.crunchbase.com/organization/institutional-venture-partners,http://www.ivp.com,"San Francisco Bay Area, Silicon Valley, West Coast","With $7 billion of committed capital, IVP is one of the premier later-stage venture capital and growth equity firms in the United States. Founded in 1980, IVP has invested in over 400 companies with 115 IPOs. IVP specializes in venture growth investments, industry rollups, founder liquidity transactions, and select public market investments. IVP investments include such notable companies as AppDynamics (CSCO), Coinbase, Compass, CrowdStrike (CRWD), Datadog (DDOG), Discord, Dropbox (DBX), GitHub (MSFT), Glossier, Grammarly, HashiCorp, Hims & Hers, HomeAway (AWAY), Hopin, Klarna, LegalZoom, Looker (GOOGL), Marketo (MKTO), MasterClass, Mindbody (Vista), MuleSoft (CRM), Netflix (NFLX), Personal Capital (Empower), Podium, Rubrik, Slack (WORK), Snap (SNAP), Supercell (Tencent), Tanium, TransferWise, Twitter (TWTR), UiPath, Yext (YEXT), ZenDesk (ZEN), ZipRecruiter, and Zynga (ZNGA). For more information, visit ivp.com or follow IVP on Twitter: @ivp.","Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments","Late Stage Venture, Private Equity",Venture Capital,321,"Menlo Park, California, United States",pr@ivp.com,415 432 4660,https://www.linkedin.com/company/ivpvc,,,,,,
Lighter Capital,https://www.crunchbase.com/organization/lighter-capital,https://www.lightercapital.com,"Greater Seattle Area, West Coast, Western US","Lighter Capital is a fintech company that has created a new fundraising path for early-stage tech companies. Its transparent, data-driven process provides founders up to $2 million of non-dilutive growth capital in a fraction of the time it takes to raise from traditional sources. It was founded in 2010 and headquartered in Seattle, Washington.","FinTech, SaaS, Software, Venture Capital","Financial Services, Lending and Investments, Software","Debt, Early Stage Venture",Venture Debt,320,"Seattle, Washington, United States",info@lightercapital.com,(206) 455-9633,https://www.linkedin.com/company/lighter-capital,16022000,USD,16022000,16022000,USD,16022000
Omidyar Network,https://www.crunchbase.com/organization/omidyar-network,http://www.omidyar.com,"San Francisco Bay Area, Silicon Valley, West Coast","Pierre Omidyar, the founder of eBay, and his wife, Pam, established Omidyar Network based on the belief that every person has the potential to make a difference. Since 2004, they have worked with their partners to create opportunities for people to tap that potential, enabling them to improve their lives and make powerful contributions to their communities. They support, scale, and champion the work of their partners in order to maximize social impact. As a philanthropic investment firm, they make both investments and grants, identifying like-minded organizations that they support, help scale, and collaborate with to help realize their full potential. Their efforts are organized around two investment initiatives Access to Capital, and Media, Markets and Transparency.","Enterprise Software, Financial Services, Venture Capital","Financial Services, Lending and Investments, Software","Early Stage Venture, Grant, Late Stage Venture, Seed",Family Investment Office,317,"Redwood City, California, United States",info@omidyar.com,650.482.2500,http://www.linkedin.com/company/22806,,,,,,
Foundry Group,https://www.crunchbase.com/organization/foundry-group,http://www.foundrygroup.com,"Greater Denver Area, Western US","Foundry Group is a venture capital firm focused on making early-stage technology investments, participating in select growth rounds, and identifying and supporting the next generation of venture fund managers. Their passion is working alongside entrepreneurs to give birth to new technologies and to build those technologies into industry-leading companies. They also seek to leverage our experience and relationships as fund managers to help new and existing venture firms create industry-leading investment businesses. They're centrally located in Boulder, CO, but they invest in companies and funds across North America.","Business Development, Finance, Financial Services, Information Technology","Financial Services, Information Technology, Professional Services","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,314,"Boulder, Colorado, United States",,(303) 642-4050,http://www.linkedin.com/company/foundry-group,,,,,,
Ignition Partners,https://www.crunchbase.com/organization/ignition-partners,http://www.ignitionpartners.com,"San Francisco Bay Area, Silicon Valley, West Coast","Ignition is a venture capital firm dedicated to helping the best entrepreneurs seize opportunity. With over $2B under management, Ignition invests in emerging and future leaders in enterprise software. Ignition brings together an unparalleled combination of domain focus, technical expertise, and global operational experience. Ignition's partners are proven business leaders who have built some of the world's most successful businesses of the last two decades, including Microsoft Windows and Office, McCaw Cellular Communications, AT&T Wireless and Starbucks. Ignition helps entrepreneurs by turning their early idea into a business, to hiring the right team, providing the right industry and functional insight and connections, to growing the business strategically, globally, financially, to realizing the best ultimate outcome, Ignition is ready to go the distance.","Cloud Computing, Cyber Security, Enterprise Software, IT Infrastructure, Machine Learning","Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software",Early Stage Venture,Venture Capital,304,"Los Altos, California, United States",info@ignitionpartners.com,425.709.0772,http://www.linkedin.com/company/ignition-partners,,,,,,
Mohr Davidow Ventures,https://www.crunchbase.com/organization/mohr-davidow-ventures,http://www.mdv.com,"San Francisco Bay Area, Silicon Valley, West Coast","For 30 years the _Mohr Davidow Ventures team has invested in early stage technology-based startups that redefine or create large new markets. They believe that emerging information technology innovations are enabling a decade-long opportunity to invest in the “Era of Digital Engagement,” one in which personal, commercial, and public sector interactions of all kinds will be profoundly reengineered to leverage the power of mobile devices, cloud computing, and data analytics.  The Firm seeks to identify and partner with exceptional entrepreneurs who leverage these technologies to build companies where seamless, deep engagement with customers will create billion dollar markets in a number of different verticals. These verticals include: Digital Marketing, Advertising, & Media, Collaborative Enterprise Applications, The Digitization of Education and Health, Digital Financial Services, E‐commerce & Digital Retail Innovation, Mobile/Web‐Powered “LifeTech.” The Firm also has previous investments in the innovative life sciences & genomics space. Leading companies funded by Mohr Davidow Ventures includes: Agile (Acquired by NYSE: ORCL); Aryaka Networks; Brocade; Coupa; Genomatica; HealthTap; Infusionsoft; Kabbage; nLight; ONI Systems (Acquired by NASDAQ: CIEN); Proofpoint (NASDAQ: PFPT); Rally Software (NYSE: RALY); Rocket Fuel (NASDAQ: FUEL); Rambus; Shutterfly (NASDAQ: SFLY); Ticketfly; Verinata Health (Acquired by NASDAQ: ILMN); and Visible Measures. The Firm has $1.85 billion under management.","Banking, Finance, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,301,"San Mateo, California, United States",info@mdv.com,(650) 854-7236,http://www.linkedin.com/company/mdv,,,,,,
